,ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,race_ethnicity,state_name,ideology,leadership,district,Full Name,Link,User_name
28,495403k,2022,Stephanie,,Bice,Republican,Congress,U.S. Representative,OK,White,Oklahoma,,,5.0,Stephanie Bice,https://twitter.com/stephaniebice," '@stephaniebice',"
29,558891k,2022,Lisa,,Blunt Rochester,Democrat,Congress,U.S. Representative,DE,Black,Delaware,0.3024530193347228,0.4459089406528202,0.0,Lisa Blunt Rochester,https://twitter.com/RepLBR ," '@RepLBR',"
30,724132k,2022,Lauren,,Boebert,Republican,Congress,U.S. Representative,CO,White,Colorado,,,3.0,Lauren Boebert,https://twitter.com/laurenboebert ," '@laurenboebert',"
31,249764k,2022,Suzanne,M.,Bonamici,Democrat,Congress,U.S. Representative,OR,White,Oregon,0.1954845780081286,0.6205508344299735,1.0,Suzanne M. Bonamici,https://twitter.com/RepBonamici ," '@RepBonamici',"
32,629889k,2022,Carolyn,,Bourdeaux,Democrat,Congress,U.S. Representative,GA,White,Georgia,,,7.0,Carolyn Bourdeaux,https://twitter.com/repbourdeaux?lang=en ," '@repbourdeaux',"
33,772727k,2022,Shontel,,Brown,Democrat,Congress,U.S. Representative,OH,Black,Ohio,,,11.0,Shontel Brown,https://twitter.com/repshontelbrown?lang=en ," '@repshontelbrown',"
34,248455k,2022,Julia,,Brownley,Democrat,Congress,U.S. Representative,CA,White,California,0.2640151276637464,0.8654142638927261,26.0,Julia Brownley,https://twitter.com/RepBrownley ," '@RepBrownley',"
35,571342k,2022,Cori,,Bush,Democrat,Congress,U.S. Representative,MO,Black,Missouri,,,1.0,Cori Bush,https://twitter.com/repcori?lang=en ," '@repcori',"
36,378493k,2022,Cheri,L.,Bustos,Democrat,Congress,U.S. Representative,IL,White,Illinois,0.3689466232195875,0.5395821412350228,17.0,Cheri L. Bustos,https://twitter.com/RepCheri ," '@RepCheri',"
37,447426k,2022,Kat,,Cammack,Republican,Congress,U.S. Representative,FL,White,Florida,,,3.0,Kat Cammack,https://twitter.com/RepKatCammack ," '@RepKatCammack',"
38,248289k,2022,Kathy,A.,Castor,Democrat,Congress,U.S. Representative,FL,White,Florida,0.2090918049934632,0.8030307828160685,14.0,Kathy A. Castor,https://twitter.com/usrepkcastor?lang=en ," '@usrepkcastor',"
39,464230k,2022,Liz,L.,Cheney,Republican,Congress,U.S. Representative,WY,White,Wyoming,0.6781311016657394,0.4511656425779302,0.0,Liz L. Cheney,https://twitter.com/RepLizCheney ," '@RepLizCheney',"
40,665191k,2022,Sheila,,Cherfilus-McCormick,Democrat,Congress,U.S. Representative,FL,Black,Florida,,,2.0,Sheila Cherfilus-McCormick,https://twitter.com/Sheila4Congress ," '@Sheila4Congress',"
41,209456k,2022,Judy,,Chu,Democrat,Congress,U.S. Representative,CA,Asian American/Pacific Islander,California,0.1302381901648175,0.8876328580942247,27.0,Judy Chu,https://twitter.com/RepJudyChu ," '@RepJudyChu',"
42,263010k,2022,Katherine,M.,Clark,Democrat,Congress,U.S. Representative,MA,White,Massachusetts,0.2095856413587212,0.6250231018414283,5.0,Katherine M. Clark,https://twitter.com/RepKClark ," '@RepKClark',"
43,248335k,2022,Yvette,D.,Clarke,Democrat,Congress,U.S. Representative,NY,Black,New York,0.1165322770074621,0.6475152893540589,9.0,Yvette D. Clarke,https://twitter.com/RepYvetteClarke ," '@RepYvetteClarke',"
44,536254k,2022,Angela,D.,Craig,Democrat,Congress,U.S. Representative,MN,White,Minnesota,0.4184231409561414,0.5894385435165359,2.0,Angela D. Craig,https://twitter.com/repangiecraig?lang=en ," '@repangiecraig',"
45,655850k,2022,Sharice,,Davids,Democrat,Congress,U.S. Representative,KS,Native American/Alaska Native/Native Hawaiian,Kansas,0.3458365513388516,0.1943388462631586,3.0,Sharice Davids,https://twitter.com/RepDavids ," '@RepDavids',"
46,569358k,2022,Madeleine,,Dean,Democrat,Congress,U.S. Representative,PA,White,Pennsylvania,0.2600994881770547,0.4145843460361906,4.0,Madeleine Dean,https://twitter.com/RepDean ," '@RepDean',"
47,158770k,2022,Diana,L.,DeGette,Democrat,Congress,U.S. Representative,CO,White,Colorado,0.2413763475758596,0.7992953334891265,1.0,Diana L. DeGette,https://twitter.com/RepDianaDeGette ," '@RepDianaDeGette',"
48,158778k,2022,Rosa,L.,DeLauro,Democrat,Congress,U.S. Representative,CT,White,Connecticut,0.2301750856279712,0.908642976624238,3.0,Rosa L. DeLauro,https://twitter.com/rosadelauro ," '@rosadelauro',"
49,284676k,2022,Suzan,K.,DelBene,Democrat,Congress,U.S. Representative,WA,White,Washington,0.2921228030589203,0.8135714387695538,1.0,Suzan K. DelBene,https://twitter.com/RepDelBene ," '@RepDelBene',"
