Name,Link,Party,,User_name
Sheila Jackson Lee,https://twitter.com/JacksonLeeTX18 ,Democrat,," '@JacksonLeeTX18',"
Susie Lee,https://twitter.com/RepSusieLee ,Democrat,," '@RepSusieLee',"
Teresa Leger Fernandez,https://twitter.com/repteresalf ,Democrat,," '@repteresalf',"
Debbie Lesko,https://twitter.com/RepDLesko ,Republican,," '@RepDLesko',"
Julia Letlow,https://twitter.com/repjulialetlow ,Republican,," '@repjulialetlow',"
Zoe Lofgren,https://twitter.com/RepZoeLofgren ,Democrat,," '@RepZoeLofgren',"
Cynthia M. Lummis,https://twitter.com/senlummis?lang=en ,Republican,," '@senlummis',"
Elaine G. Luria,https://twitter.com/repelaineluria?lang=en ,Republican,," '@repelaineluria',"
Nancy Mace,https://twitter.com/NancyMace ,Democrat,," '@NancyMace',"
Nicole Malliotakis,https://twitter.com/NMalliotakis ,Republican,," '@NMalliotakis',"
Carolyn B. Maloney,https://twitter.com/RepMaloney ,Democrat,," '@RepMaloney',"
Kathy Manning,https://twitter.com/repkmanning?lang=en ,Democrat,," '@repkmanning',"
Doris O. Matsui,https://twitter.com/DorisMatsui ,Democrat,," '@DorisMatsui',"
Lucy McBath,https://twitter.com/RepLucyMcBath ,Democrat,," '@RepLucyMcBath',"
Lisa McClain,https://twitter.com/RepLisaMcClain ,Republican,," '@RepLisaMcClain',"
Betty McCollum,https://twitter.com/BettyMcCollum04 ,Democrat,," '@BettyMcCollum04',"
Cathy McMorris Rodgers,https://twitter.com/cathymcmorris ,Republican,," '@cathymcmorris',"
Grace Meng,https://twitter.com/RepGraceMeng ,Democrat,," '@RepGraceMeng',"
Carol D. Miller,https://twitter.com/RepCarolMiller ,Republican,," '@RepCarolMiller',"
Mary Miller,https://twitter.com/RepMaryMiller ,Republican,," '@RepMaryMiller',"
Mariannette Miller-Meeks,https://twitter.com/millermeeks ,Republican,," '@millermeeks',"
Gwen S. Moore,https://twitter.com/RepGwenMoore ,Democrat,," '@RepGwenMoore',"
Lisa Murkowski,https://twitter.com/lisamurkowski ,Republican,," '@lisamurkowski',"
Stephanie Murphy,https://twitter.com/RepStephMurphy ,Democrat,," '@RepStephMurphy',"
Patty Murray,https://twitter.com/PattyMurray ,Democrat,," '@PattyMurray',"
Grace F. Napolitano,https://twitter.com/gracenapolitano ,Democrat,," '@gracenapolitano',"
Marie Newman,https://twitter.com/repmarienewman?lang=en ,Democrat,," '@repmarienewman',"
Alexandria Ocasio-Cortez,https://twitter.com/repaoc?lang=en ,Democrat,," '@repaoc',"
Alexandria Ocasio-Cortez,https://twitter.com/AOC ,Democrat,," '@AOC',"
Ilhan Omar,https://twitter.com/IlhanMN ,Democrat,," '@IlhanMN',"
Ilhan Omar,https://twitter.com/ilhan?lang=en ,Democrat,," '@ilhan',"
Elizabeth Pannill Fletcher,https://twitter.com/RepFletcher ,Democrat,," '@RepFletcher',"
Nancy Pelosi,https://twitter.com/SpeakerPelosi ,Democrat,," '@SpeakerPelosi',"
Chellie M. Pingree,https://twitter.com/chelliepingree ,Democrat,," '@chelliepingree',"
Katherine Porter,https://twitter.com/RepKatiePorter ,Democrat,," '@RepKatiePorter',"
Ayanna Pressley,https://twitter.com/reppressley?lang=en ,Democrat,," '@reppressley',"
Kathleen M. Rice,https://twitter.com/RepKathleenRice ,Democrat,," '@RepKathleenRice',"
Jacklyn S. Rosen,https://twitter.com/SenJackyRosen ,Democrat,," '@SenJackyRosen',"
Deborah Ross,https://twitter.com/RepDeborahRoss ,Democrat,," '@RepDeborahRoss',"
Lucille Roybal-Allard,https://twitter.com/RepRoybalAllard ,Democrat,," '@RepRoybalAllard',"
Maria Salazar,https://twitter.com/RepMariaSalazar ,Republican,," '@RepMariaSalazar',"
Linda T. Sanchez,https://twitter.com/RepLindaSanchez ,Democrat,," '@RepLindaSanchez',"
Mary Gay Scanlon,https://twitter.com/RepMGS ,Democrat,," '@RepMGS',"
Jan D. Schakowsky,https://twitter.com/repschakowsky ,Democrat,," '@repschakowsky',"
Kim Schrier,https://twitter.com/RepKimSchrier ,Democrat,," '@RepKimSchrier',"
Terri A. Sewell,https://twitter.com/RepTerriSewell ,Democrat,," '@RepTerriSewell',"
Jeanne Shaheen,https://twitter.com/SenatorShaheen ,Democrat,," '@SenatorShaheen',"
Mikie Sherrill,https://twitter.com/RepSherrill ,Democrat,," '@RepSherrill',"
Kyrsten Sinema,https://twitter.com/senatorsinema?lang=en ,Democrat,," '@senatorsinema',"
Elissa Slotkin,https://twitter.com/repslotkin?lang=en ,Democrat,," '@repslotkin',"
Tina Smith,https://twitter.com/SenTinaSmith ,Democrat,," '@SenTinaSmith',"
Abigail D. Spanberger,https://twitter.com/RepSpanberger ,Democrat,," '@RepSpanberger',"
Victoria Spartz,https://twitter.com/RepSpartz ,Republican,," '@RepSpartz',"
Jackie Speier,https://twitter.com/RepSpeier ,Democrat,," '@RepSpeier',"
Debbie A. Stabenow,https://twitter.com/senstabenow?lang=en ,Democrat,," '@senstabenow',"
Melanie A. Stansbury,https://twitter.com/Rep_Stansbury ,Democrat,," '@Rep_Stansbury',"
Michelle Steel,https://twitter.com/RepSteel ,Republican,," '@RepSteel',"
Elise M. Stefanik,https://twitter.com/repstefanik?lang=en ,Republican,," '@repstefanik',"
Haley Stevens,https://twitter.com/RepHaleyStevens ,Democrat,," '@RepHaleyStevens',"
Marilyn Strickland,https://twitter.com/repstricklandwa ,Democrat,," '@repstricklandwa',"
Claudia Tenney,https://twitter.com/reptenney?lang=en ,Republican,," '@reptenney',"
Dina C. Titus,https://twitter.com/repdinatitus?lang=en ,Democrat,," '@repdinatitus',"
Rashida Tlaib,https://twitter.com/reprashida?lang=en ,Democrat,," '@reprashida',"
Norma J. Torres,https://twitter.com/NormaJTorres ,Democrat,," '@NormaJTorres',"
Lori Trahan,https://twitter.com/RepLoriTrahan ,Democrat,," '@RepLoriTrahan',"
Lauren A. Underwood,https://twitter.com/RepUnderwood ,Democrat,," '@RepUnderwood',"
Beth Van Duyne,https://twitter.com/RepBethVanDuyne ,Republican,," '@RepBethVanDuyne',"
Nydia M. Velazquez,https://twitter.com/NydiaVelazquez ,Democrat,," '@NydiaVelazquez',"
Ann L. Wagner,https://twitter.com/RepAnnWagner,Republican,," '@RepAnnWagner',"
Jackie Swihart Walorski,https://twitter.com/repwalorski ,Republican,," '@repwalorski',"
Elizabeth A. Warren,https://twitter.com/senwarren ,Democrat,," '@senwarren',"
Debbie Wasserman Schultz,https://twitter.com/RepDWStweets,Democrat,," '@RepDWStweets',"
Maxine Waters,https://twitter.com/RepMaxineWaters ,Democrat,," '@RepMaxineWaters',"
Bonnie Watson Coleman,https://twitter.com/RepBonnie ,Democrat,," '@RepBonnie',"
Jennifer T. Wexton,https://twitter.com/RepWexton,Democrat,," '@RepWexton',"
Nikema Williams,https://twitter.com/repnikema ,Democrat,," '@repnikema',"
Frederica S. Wilson,https://twitter.com/RepWilson ,Democrat,, '@RepWilson'
